Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10,return,log_return,real_return,cape,cape_z
1989-07-01,331.9,10.4233,24.71,124.4,8.02,816.75,25.65,60.81,17.01,0.025332097621254324,0.025016557793730243,0.022855353788353128,17.01,-0.054468763994645175
1989-08-01,346.6,10.5467,24.2,124.6,8.11,851.56,25.91,59.46,17.73,0.044290448930400794,0.043337658555576475,0.04262014080195886,17.73,0.045625989507404555
1989-09-01,347.3,10.73,23.69,125.0,8.19,850.54,26.28,58.02,17.71,0.00201961915753035,0.002017582468522683,-0.001197801681619648,17.71,0.04284557968790323
1989-10-01,347.4,10.7967,23.4267,125.6,8.01,846.73,26.32,57.1,17.64,0.00028793550244743393,0.0002878940569761568,-0.00447950713664258,17.64,0.03311414531964834
1989-11-01,340.2,10.9233,23.1633,125.9,7.87,827.2,26.56,56.32,17.24,-0.020725388601036232,-0.020943173845243024,-0.023065203783968924,17.24,-0.022494051070379672
1989-12-01,348.6,11.06,22.87,126.1,7.84,846.28,26.85,55.52,17.65,0.024691358024691468,0.024391453124159135,0.02306576402321081,17.65,0.03450435022939875
1990-01-01,339.97,11.14,22.49,127.4,8.21,816.91,26.77,54.04,17.05,-0.02475616752725185,-0.02506775466279354,-0.03470482582596779,17.05,-0.048907944355642524
1990-02-01,330.45,11.23,22.08,128.0,8.47,790.31,26.86,52.81,16.51,-0.028002470806247737,-0.028402016506665184,-0.03256172650597988,16.51,-0.12397900948217982
1990-03-01,338.46,11.32,21.67,128.7,8.59,805.07,26.93,51.54,16.83,0.024239673172945952,0.023950555063477985,0.018676215662208673,16.83,-0.0794924523701581
1990-04-01,338.18,11.4367,21.5333,128.9,8.79,803.15,27.16,51.14,16.81,-0.0008272764876202654,-0.0008276188696560993,-0.002384885786329227,16.81,-0.08227286218965943
1990-05-01,350.25,11.5533,21.3967,129.2,8.76,829.89,27.37,50.7,17.39,0.03569105210243073,0.0350688871068332,0.03329390524808562,17.39,-0.0016409774241189826
1990-06-01,360.39,11.66,21.26,129.9,8.48,849.31,27.48,50.1,17.82,0.028950749464668135,0.028539593184277123,0.023400691657930572,17.82,0.05813783369516077
